,City,Lat,Humidity,Wind_Speed,Temp_Max,Cloudiness,Date,Lng,Country
0,praya,14.92,73.0,18.34,73.4,20.0,1589235841,-23.51,CV
1,namibe,-15.2,47.0,9.01,78.62,83.0,1589235841,12.15,AO
2,bluff,-46.6,76.0,11.5,49.91,46.0,1589235841,168.33,NZ
3,kapaa,22.08,78.0,19.46,78.8,75.0,1589235841,-159.32,US
4,veraval,20.9,84.0,10.0,80.74,0.0,1589235792,70.37,IN
5,bonavista,48.65,75.0,18.95,38.7,82.0,1589235841,-53.11,CA
6,lorengau,-2.02,70.0,4.09,85.05,97.0,1589235842,147.27,PG
7,campbell river,50.02,40.0,5.82,69.8,75.0,1589235842,-125.24,CA
8,georgiyevka,43.04,76.0,6.71,57.2,44.0,1589235842,74.71,KZ
9,nara,34.69,63.0,3.36,66.2,75.0,1589235842,135.8,JP
10,iqaluit,63.75,69.0,16.11,39.2,75.0,1589235605,-68.51,CA
11,cherskiy,68.75,68.0,24.23,39.79,81.0,1589235550,161.3,RU
12,upernavik,72.79,92.0,10.8,28.6,100.0,1589235843,-56.15,GL
13,bredasdorp,-34.53,82.0,3.67,62.6,100.0,1589235843,20.04,ZA
14,yeppoon,-23.13,63.0,8.05,64.4,5.0,1589235843,150.73,AU
15,tasiilaq,65.61,74.0,13.87,30.2,99.0,1589235843,-37.64,GL
16,beloha,-25.17,92.0,6.93,63.1,6.0,1589235843,45.05,MG
17,sao filipe,14.9,74.0,11.5,73.63,0.0,1589235843,-24.5,CV
18,new norfolk,-42.78,78.0,1.01,55.99,55.0,1589235844,147.06,AU
19,cape town,-33.93,87.0,4.0,62.01,93.0,1589235793,18.42,ZA
20,hobart,-42.88,71.0,10.29,55.99,40.0,1589235812,147.33,AU
21,tuatapere,-46.13,83.0,3.91,46.89,16.0,1589235844,167.68,NZ
22,luderitz,-26.65,63.0,9.17,66.2,0.0,1589235844,15.16,NA
23,rikitea,-23.12,66.0,6.71,74.12,49.0,1589235547,-134.97,PF
24,hobyo,5.35,79.0,16.17,84.58,28.0,1589235845,48.53,SO
25,taolanaro,,,,,,,,
26,nantucket,41.28,93.0,12.75,53.01,75.0,1589235845,-70.1,US
27,talnakh,69.49,100.0,8.95,30.2,75.0,1589235845,88.4,RU
28,sioux lookout,50.1,26.0,18.34,42.8,75.0,1589235594,-91.92,CA
29,hebi,35.9,23.0,11.95,69.24,0.0,1589235845,114.19,CN
30,mataura,-46.19,85.0,1.28,45.54,100.0,1589235846,168.86,NZ
31,punta arenas,-53.15,86.0,12.75,39.2,20.0,1589235846,-70.92,CL
32,atuona,-9.8,75.0,17.13,81.03,15.0,1589235846,-139.03,PF
33,avarua,-21.21,83.0,8.05,82.4,0.0,1589235783,-159.78,CK
34,isangel,-19.55,69.0,3.36,78.8,20.0,1589235846,169.27,VU
35,barentsburg,,,,,,,,
36,ribeira grande,38.52,79.0,15.97,61.77,100.0,1589235847,-28.7,PT
37,severo-kurilsk,50.68,84.0,13.89,36.37,59.0,1589235847,156.12,RU
38,ushtobe,45.25,51.0,5.12,65.21,77.0,1589235847,77.98,KZ
39,port alfred,-33.59,88.0,3.0,63.0,97.0,1589235847,26.89,ZA
40,saldanha,-33.01,82.0,8.05,60.8,62.0,1589235742,17.94,ZA
41,port lincoln,-34.73,57.0,15.57,55.63,100.0,1589235774,135.87,AU
42,vaini,-21.2,61.0,8.05,80.6,20.0,1589235848,-175.2,TO
43,qaanaaq,77.48,81.0,3.31,12.6,0.0,1589235848,-69.36,GL
44,ushuaia,-54.8,75.0,23.04,41.0,75.0,1589235848,-68.3,AR
45,tuktoyaktuk,69.45,92.0,11.41,28.4,90.0,1589235848,-133.04,CA
46,illoqqortoormiut,,,,,,,,
47,saint-philippe,-21.36,60.0,6.93,68.0,75.0,1589235849,55.77,RE
48,shubarshi,48.59,86.0,7.02,47.95,0.0,1589235849,57.19,KZ
49,hilo,19.73,78.0,9.17,75.2,90.0,1589235849,-155.09,US
50,airai,-8.93,100.0,3.27,58.12,100.0,1589235849,125.41,TL
51,mashhad,36.3,100.0,16.11,57.2,40.0,1589235849,59.61,IR
52,mackay,-21.15,82.0,12.75,68.0,75.0,1589235659,149.2,AU
53,victor harbor,-35.57,69.0,5.99,55.0,100.0,1589235849,138.62,AU
54,hithadhoo,-0.6,75.0,14.18,85.55,100.0,1589235850,73.08,MV
55,albany,42.6,69.0,12.84,48.99,99.0,1589235850,-73.97,US
56,lavrentiya,65.58,92.0,3.8,37.58,0.0,1589235850,-171.0,RU
57,arona,28.1,73.0,3.36,71.01,75.0,1589235850,-16.68,ES
58,winnemucca,40.97,8.0,17.22,80.6,1.0,1589235850,-117.74,US
59,hervey bay,-25.3,74.0,7.0,62.01,60.0,1589235851,152.85,AU
60,naze,28.37,88.0,1.12,71.6,75.0,1589235851,129.48,JP
61,tonstad,58.66,86.0,17.16,39.99,31.0,1589235851,6.72,NO
62,samusu,,,,,,,,
63,teknaf,20.86,84.0,2.89,78.13,15.0,1589235851,92.31,BD
64,nouadhibou,20.93,77.0,18.34,68.0,0.0,1589235851,-17.03,MR
65,busselton,-33.65,81.0,9.37,48.99,7.0,1589235852,115.33,AU
